ticker,Name,Sector,Asset Class,Market Value
EQT,EQT CORP,Energy,Equity,"24,751,768.08"
ES,EVERSOURCE ENERGY,Utilities,Equity,"18,109,575.44"
ESAB,ESAB CORP,Industrials,Equity,"4,092,400.32"
ESI,ELEMENT SOLUTIONS INC,Materials,Equity,"6,386,937.70"
ESM6,S&P500 EMINI JUN 26,Cash and/or Derivatives,Futures,0.00
ESS,ESSEX PROPERTY TRUST REIT INC,Real Estate,Equity,"11,455,131.66"
ESTC,ELASTIC NV,Information Technology,Equity,"2,916,769.06"
ETN,EATON PLC,Industrials,Equity,"114,613,417.08"
ETR,ENTERGY CORP,Utilities,Equity,"35,615,282.08"
ETSY,ETSY INC,Consumer Discretionary,Equity,"4,392,711.26"
EVR,EVERCORE INC CLASS A,Financials,Equity,"8,776,132.86"
EVRG,EVERGY INC,Utilities,Equity,"13,109,881.20"
EW,EDWARDS LIFESCIENCES CORP,Health Care,Equity,"33,710,745.90"
EWBC,EAST WEST BANCORP INC,Financials,Equity,"11,907,969.42"
EXC,EXELON CORP,Utilities,Equity,"33,065,295.72"
EXE,EXPAND ENERGY CORP,Energy,Equity,"15,310,929.60"
EXEL,EXELIXIS INC,Health Care,Equity,"8,391,967.50"
EXLS,EXLSERVICE HOLDINGS INC,Industrials,Equity,"3,349,060.82"
EXP,EAGLE MATERIALS INC,Materials,Equity,"4,826,210.66"
EXPD,EXPEDITORS INTERNATIONAL OF WASHIN,Industrials,Equity,"14,140,291.80"
EXPE,EXPEDIA GROUP INC,Consumer Discretionary,Equity,"20,094,307.68"
EXR,EXTRA SPACE STORAGE REIT INC,Real Estate,Equity,"20,695,875.10"
F,FORD MOTOR CO,Consumer Discretionary,Equity,"34,247,542.53"
FAF,FIRST AMERICAN FINANCIAL CORP,Financials,Equity,"4,696,540.68"
FAM6,S&P MID 400 EMINI JUN 26,Cash and/or Derivatives,Futures,0.00
FANG,DIAMONDBACK ENERGY INC,Energy,Equity,"27,062,354.76"
FAST,FASTENAL,Industrials,Equity,"36,468,421.44"
FBIN,FORTUNE BRANDS INNOVATIONS INC,Industrials,Equity,"3,605,704.50"
FCN,FTI CONSULTING INC,Industrials,Equity,"4,024,675.00"
FCNCA,FIRST CITIZENS BANCSHARES INC CLAS,Financials,Equity,"12,415,477.23"
FCX,FREEPORT MCMORAN INC,Materials,Equity,"60,678,904.86"
FDS,FACTSET RESEARCH SYSTEMS INC,Financials,Equity,"5,994,904.65"
FDX,FEDEX CORP,Industrials,Equity,"58,285,127.18"
FE,FIRSTENERGY CORP,Utilities,Equity,"19,140,893.76"
FERG,FERGUSON ENTERPRISES INC,Industrials,Equity,"35,284,203.02"
FFIV,F5 INC,Information Technology,Equity,"11,979,657.36"
FHB,FIRST HAWAIIAN INC,Financials,Equity,"2,421,563.76"
FHN,FIRST HORIZON CORP,Financials,Equity,"8,623,918.22"
FICO,FAIR ISAAC CORP,Information Technology,Equity,"16,578,148.16"
FIGR,FIGURE TECHNOLOGY SOLUTIONS INC CL,Financials,Equity,"799,976.28"
FIS,FIDELITY NATIONAL INFORMATION SERV,Financials,Equity,"16,885,816.80"
FISV,FISERV INC,Financials,Equity,"23,188,121.66"
